cas,smile,odors
1072-83-9,CC(=O)c1[nH]ccc1,"cerfeuil,cerise,coumarine,doux,fruit à coque,fruité,moisi,moutarde,noix,pain,réglisse,thé,wasabi"
1073-11-6,CC1(CCC(=O)O1)C=C,menthé
1073-26-3,CCC(=O)c1[nH]ccc1,pop corn
1073-29-6,CSc1ccccc1O,"ail,œuf,soufré"
1076-56-8,COc1cc(C)ccc1C(C)C,"brûlé,café,fumée,moisi,terre,vert"
107797-26-2,CCCCCC[C@@H]1CCC(=O)O1,"caramel,doux,fruité,noix de coco"
1079-01-2,CC(=O)OCC1=CCC2CC1C2(C)C,"agrume,boisé,cèdre,doux,floral,frais,fruité,vert"
108-10-1,CC(C)CC(C)=O,"épicé,fruité,herbe,lactique,légume,solvant,vert"
108-21-4,CC(C)OC(C)=O,"banane,chimique,doux,éther,fruité,pomme"
108-22-5,CC(=C)OC(C)=O,"acétique,baie,choucroute,doux,éther,fruité,raisin,vert"
108-29-2,CC1CCC(=O)O1,"boisé,cacao,chocolat noir,coumarine,doux,fève tonka,noix de coco,tabac"
108-39-4,Cc1cccc(O)c1,"boisé,cuir,phénolé,plastique"
108-46-3,Oc1cccc(O)c1,"aubépine,crème,moisi,phénolé,vanille"
108-47-4,Cc1ccnc(C)c1,"phénolé,vert"
108-48-5,Cc1cccc(C)n1,"boisé,cacao,café,fruit à coque,huile,légume,moisi,pain,poisson"
108-50-9,Cc1cncc(C)n1,"bœuf cuit,cacao,café,fruit à coque,moisi,pain,viande cuite"
108-64-5,CCOC(=O)CC(C)C,"ananas,doux,épicé,ester,fruité,métal,orange,pomme,vert"
108-82-7,CC(C)CC(O)CC(C)C,"éther,fermentaire,levure"
108-83-8,CC(C)CC(=O)CC(C)C,"agrume,ananas,banane,cognac,éther,fermentaire,fruité,métal,poire,vert"
108-84-9,CC(C)CC(C)OC(C)=O,"banane,doux,fruité"
108-93-0,OC1CCCCC1,"menthol,phénolé"
108-94-1,O=C1CCCCC1,acétone
108-95-2,Oc1ccccc1,"caoutchouc,plastique"
108-98-5,Sc1ccccc1,"alliacé,brûlé,caoutchouc,phénolé,soufré"
1080-12-2,COc1cc(\C=C\C(C)=O)ccc1O,"balsamique,crème,doux,épicé,poudré,vanille"
108910-53-8,CC(C)[C@@H]1CC[C@H](C)[C@@H]2C=C[C@H](C)C[C@@H]12,"boisé,camomille,épicé,herbe,patchouli,phénolé"
109-05-7,CC1CCCCN1,"crème,fruit de mer,salade verte"
109-08-0,Cc1cnccn1,"cacahuète,cacao,chocolat,fruit à coque,moisi,terre,vert"
109-15-9,CCCCCCCCOC(=O)C(C)C,"aldéhyde,cire d'abeille,crème,fruité,gras,savon,terre,vert"
109-19-3,CCCCOC(=O)CC(C)C,"ananas,doux,fruité,pêche,poire,pomme,vert"
109-20-6,CC(C)CC(=O)OCC\C(C)=C\CC=C(C)C,"ananas,doux,fruité,herbe,huile,melon,myrtille,pomme,rose,vert"
109-21-7,CCCCOC(=O)CCC,"ananas,banane,doux,frais,fruité,gras"
109-25-1,CCCCCCC(=O)OCCC(C)C,"banane verte,fruité,herbe"
109-29-5,O=C1CCCCCCCCCCCCCCCO1,"ambre gris,animal,balsamique,cire d'abeille,musc,papier,poudré"
109-42-2,CCCCOC(=O)CCCCCCCCC=C,"beurre,cire d'abeille,floral,fruité,gras,huile,savon,vin"
109-43-3,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,huile
109-49-9,CC(=O)CCC=C,floral
109-52-4,CCCCC(O)=O,"fromage,fruité,lactique,lait frais,rance,tabac"
109-60-4,CCCOC(C)=O,"banane,doux,ester,éther,framboise,fruité,miel,poire,solvant"
109-79-5,CCCCS,"ail,bœuf cuit,café,gras,légume,oignon,oignon cuit,soufré"
109-94-4,CCOC=O,"alcool,cognac,doux,éther,fermentaire,fruité,grain,rose,vert,vin"
109-95-5,CCON=O,"doux,fruité,rhum"
109-97-7,[nH]1cccc1,"éther,fruit à coque"
110-02-1,s1cccc1,ail
110-19-0,CC(C)COC(C)=O,"banane,doux,éther,fruité,pomme"
110-36-1,CCCCCCCCCCCCCC(=O)OCCCC,gras
110-38-3,CCCCCCCCCC(=O)OCC,"brandy,cire d'abeille,doux,fruité,huile,pomme,raisin"
110-39-4,CCCCCCCCOC(=O)CCC,"cire d'abeille,crème,doux,fruité,huile,jasmin,terre,vert"
110-40-7,CCOC(=O)CCCCCCCCC(=O)OCC,"cognac,coing,coriandre,fruité,melon,vin"
110-41-8,CCCCCCCCCC(C)C=O,"agrume,aldéhyde,ambre gris,cire d'abeille,coumarine,gaz,gras,métal,mousse,tubéreuse"
110-42-9,CCCCCCCCCC(=O)OC,"floral,fruité,gras,huile,vin"
110-43-0,CCCCCC(C)=O,"banane,boisé,cire d'abeille,crème,doux,épicé,fromage,fruité,herbe,noix de coco,vert"
110-45-2,CC(C)CCOC=O,"cassis,cire d'abeille,ester,éther,fruité,gras,pomme,terre,vert,vin"
110-62-3,CCCCC=O,"baie,cacao,chocolat,fermentaire,fruit à coque,fruité,malté,pain,vin"
110-66-7,CCCCCS,"gras,légume"
110-74-7,CCCOC=O,"absinthe,baie,doux,éther,fruité,rhum,vert"
110-81-6,CCSSCC,"ail,gaz,graisse animale,oignon"
110-89-4,C1CCNCC1,"animal,floral"
110-93-0,CC(C)=CCCC(C)=O,"banane,caoutchouc,champignon,citronelle,crème,fromage,fruité,haricot vert,légume,moisi,pomme,vert"
110458-85-0,CC(=C)C12CC(CC1CO)C(=C2C)C,"boisé,frais,ozone"
11050-62-7,CC/C=C/CC1=C(C)C(=O)CC1,"boisé,cire d'abeille,crème,épicé,floral,fruité,gras,vert"
111-11-5,CCCCCCCC(=O)OC,"agrume,aldéhyde,cire d'abeille,doux,fruité,gras,herbe,légume,orange,vert"
111-12-6,CCCCCC#CC(=O)OC,"champignon,cire d'abeille,concombre,floral,fruité,gras,lactique,légume,melon,vert,violette"
